"objectId","createdAt","updatedAt","userId","activityType","coinChangeAmt","rewardId","pointRewardId","rewardDescription","rewardLongDescription","rewardTotalCountAfterAction","vendorId"
"9heNAejg0V","03/13/2013 02:34:46","03/13/2013 02:34:46","x3jLXdJcfo","Scanned Reward","1","K5xIl5jFAr","","Free buffet","Receive a free buffet pass after dining here 10 times","3","KePt2apWWd"
"MZeXRZrnd3","03/13/2013 11:52:06","03/13/2013 11:52:06","iPchwQcMMA","Sign Up","10","","","","","",""
"BEC3lCmlAJ","03/13/2013 17:32:54","03/13/2013 17:32:54","8lm4n8GVhU","Sign Up","10","","","","","",""
"hEzC0Et2cB","03/13/2013 17:52:02","03/13/2013 17:52:02","65hZOMlZq9","Scanned Reward","1","Ifj8RdRVu9","","Free drink","Receive a free drink after paying with cash 3 times","3","KePt2apWWd"
"Z9RTre1dnN","03/13/2013 17:52:05","03/13/2013 17:52:05","65hZOMlZq9","Scanned Reward","1","K5xIl5jFAr","","Free buffet","Receive a free buffet pass after dining here 10 times","3","KePt2apWWd"
"UBVkkJozvp","03/13/2013 18:45:04","03/13/2013 18:45:04","nPKSpj7gjs","Scanned Reward","1","K5xIl5jFAr","","Free buffet","Receive a free buffet pass after dining here 10 times","10","KePt2apWWd"
"4ucHr7JMmz","03/13/2013 18:45:06","03/13/2013 18:45:06","nPKSpj7gjs","Scanned Reward","1","Ifj8RdRVu9","","Free drink","Receive a free drink after paying with cash 3 times","8","KePt2apWWd"
"lmL8xgy7js","03/13/2013 18:45:16","03/13/2013 18:45:16","sJG2F5n6nZ","Scanned Reward","1","Ifj8RdRVu9","","Free drink","Receive a free drink after paying with cash 3 times","9","KePt2apWWd"
"TO3qDIdhIR","03/13/2013 18:45:19","03/13/2013 18:45:19","sJG2F5n6nZ","Scanned Reward","1","K5xIl5jFAr","","Free buffet","Receive a free buffet pass after dining here 10 times","11","KePt2apWWd"
"Cty6x2DzbB","03/13/2013 18:47:25","03/13/2013 18:47:25","Vsj6TFQJWn","Scanned Reward","1","K5xIl5jFAr","","Free buffet","Receive a free buffet pass after dining here 10 times","5","KePt2apWWd"
"3hWksG6Q4O","03/13/2013 18:47:29","03/13/2013 18:47:29","Vsj6TFQJWn","Scanned Reward","1","Ifj8RdRVu9","","Free drink","Receive a free drink after paying with cash 3 times","4","KePt2apWWd"
"cIGl0j3pYm","03/13/2013 19:03:43","03/13/2013 19:03:43","Ebk94n5wux","Scanned Reward","1","Ifj8RdRVu9","","Free drink","Receive a free drink after paying with cash 3 times","6","KePt2apWWd"
"9zkyQ3l1OR","03/13/2013 19:03:49","03/13/2013 19:03:49","Ebk94n5wux","Scanned Reward","1","K5xIl5jFAr","","Free buffet","Receive a free buffet pass after dining here 10 times","6","KePt2apWWd"
"vhrWbD5278","03/13/2013 19:05:50","03/13/2013 19:05:50","0P71lvIX6P","Scanned Reward","1","Ifj8RdRVu9","","Free drink","Receive a free drink after paying with cash 3 times","4","KePt2apWWd"
"ElzW6ePgwg","03/13/2013 19:05:53","03/13/2013 19:05:53","0P71lvIX6P","Scanned Reward","1","K5xIl5jFAr","","Free buffet","Receive a free buffet pass after dining here 10 times","4","KePt2apWWd"
"c5qiHg2vpo","03/13/2013 19:29:15","03/13/2013 19:29:15","Cqh3yyGECH","Scanned Reward","1","Ifj8RdRVu9","","Free drink","Receive a free drink after paying with cash 3 times","1","KePt2apWWd"
"BO21MGIOKA","03/13/2013 19:57:54","03/13/2013 19:57:54","dxqh0RIa1N","Scanned Reward","1","Ifj8RdRVu9","","Free drink","Receive a free drink after paying with cash 3 times","2","KePt2apWWd"
"Ues5nUOHxh","03/13/2013 19:57:56","03/13/2013 19:57:56","dxqh0RIa1N","Scanned Reward","1","K5xIl5jFAr","","Free buffet","Receive a free buffet pass after dining here 10 times","2","KePt2apWWd"
"DQcGF71VvU","03/13/2013 21:40:55","03/13/2013 21:40:55","9fNbHbvIxE","Sign In with Facebook","10","","","","","",""
"qVRHdgQ09h","03/13/2013 21:42:26","03/13/2013 21:42:26","9fNbHbvIxE","Scanned Reward","1","Ifj8RdRVu9","","Free drink","Receive a free drink after paying with cash 3 times","1","KePt2apWWd"
"UULdsMbgfN","03/13/2013 21:43:19","03/13/2013 21:43:19","9fNbHbvIxE","Redeemed PointReward","-10","","Y0aMgMbZi6","Free soft drink","Costs 10 RewardCat Coins for a free soft drink","","KePt2apWWd"
"XZ9JPSbtxE","03/14/2013 02:06:10","03/14/2013 02:06:10","BUf9r6goZ4","Scanned Reward","1","Ifj8RdRVu9","","Free drink","Receive a free drink after paying with cash 3 times","3","KePt2apWWd"
"ErwSmFlPUC","03/14/2013 02:06:35","03/14/2013 02:06:35","BUf9r6goZ4","Redeemed PointReward","-10","","Y0aMgMbZi6","Free soft drink","Costs 10 RewardCat Coins for a free soft drink","","KePt2apWWd"
"J3MlgkYIfi","03/14/2013 02:07:11","03/14/2013 02:07:11","BUf9r6goZ4","Scanned Reward","1","K5xIl5jFAr","","Free buffet","Receive a free buffet pass after dining here 10 times","3","KePt2apWWd"
"LaBBOwjW4i","03/14/2013 18:47:54","03/14/2013 18:47:54","Vsj6TFQJWn","Scanned Reward","1","Ifj8RdRVu9","","Free drink","Receive a free drink after paying with cash 3 times","5","KePt2apWWd"
"nocDRVj973","03/14/2013 18:47:58","03/14/2013 18:47:58","Vsj6TFQJWn","Scanned Reward","1","K5xIl5jFAr","","Free buffet","Receive a free buffet pass after dining here 10 times","6","KePt2apWWd"
"2GjfrtrG8h","03/14/2013 19:02:15","03/14/2013 19:02:15","yTkV8VUBqU","Scanned Reward","1","K5xIl5jFAr","","Free buffet","Receive a free buffet pass after dining here 10 times","8","KePt2apWWd"
"g3IMuDIjre","03/14/2013 19:02:16","03/14/2013 19:02:16","yTkV8VUBqU","Scanned Reward","1","Ifj8RdRVu9","","Free drink","Receive a free drink after paying with cash 3 times","9","KePt2apWWd"
"v4lLC6Xbor","03/14/2013 19:26:35","03/14/2013 19:26:35","Vsj6TFQJWn","Redeemed Reward","","Ifj8RdRVu9","","Free drink","Receive a free drink after paying with cash 3 times","2","KePt2apWWd"
"dh2H7IWl9Z","03/14/2013 19:27:57","03/14/2013 19:27:57","xPG5YmjLPH","Scanned Reward","1","K5xIl5jFAr","","Free buffet","Receive a free buffet pass after dining here 10 times","3","KePt2apWWd"
"vXyTexxGyx","03/14/2013 20:26:28","03/14/2013 20:26:28","c9bnc0Kz1A","Scanned Reward","1","Ifj8RdRVu9","","Free drink","Receive a free drink after paying with cash 3 times","4","KePt2apWWd"
"V2Cq8J5ghV","03/14/2013 20:26:34","03/14/2013 20:26:34","c9bnc0Kz1A","Scanned Reward","1","K5xIl5jFAr","","Free buffet","Receive a free buffet pass after dining here 10 times","4","KePt2apWWd"
"6IIIMYFan7","03/14/2013 20:31:12","03/14/2013 20:31:12","dsGO6Rry3E","Scanned Reward","1","K5xIl5jFAr","","Free buffet","Receive a free buffet pass after dining here 10 times","1","KePt2apWWd"
"iVI7fLVP55","03/14/2013 20:31:24","03/14/2013 20:33:06","tv1E2rgawf","Scanned Reward","1","Ifj8RdRVu9","","Free drink","Receive a free drink after paying with cash 3 times","1","KePt2apWWd"
"Qk76bqYQxs","03/14/2013 20:31:25","03/14/2013 20:31:25","dsGO6Rry3E","Scanned Reward","1","Ifj8RdRVu9","","Free drink","Receive a free drink after paying with cash 3 times","1","KePt2apWWd"
"fZgCDPhR3X","03/14/2013 20:31:26","03/14/2013 20:33:06","tv1E2rgawf","Scanned Reward","1","K5xIl5jFAr","","Free buffet","Receive a free buffet pass after dining here 10 times","1","KePt2apWWd"
"yA4vQD0xvS","03/14/2013 20:33:05","03/14/2013 20:33:05","tv1E2rgawf","Sign In with Facebook","10","","","","","",""
"xT9a958mUY","03/15/2013 03:14:12","03/15/2013 03:14:12","kKEfILzucU","Scanned Reward","1","Ifj8RdRVu9","","Free drink","Receive a free drink after paying with cash 3 times","1","KePt2apWWd"
"XvUfrHCfhI","03/15/2013 03:14:21","03/15/2013 03:14:21","kKEfILzucU","Scanned Reward","1","K5xIl5jFAr","","Free buffet","Receive a free buffet pass after dining here 10 times","1","KePt2apWWd"
"J89yxIR9XZ","03/15/2013 03:20:02","03/15/2013 03:20:02","dxqh0RIa1N","Scanned Reward","1","Ifj8RdRVu9","","Free drink","Receive a free drink after paying with cash 3 times","3","KePt2apWWd"
"JO0nkszzGh","03/15/2013 03:20:05","03/15/2013 03:20:05","dxqh0RIa1N","Scanned Reward","1","K5xIl5jFAr","","Free buffet","Receive a free buffet pass after dining here 10 times","3","KePt2apWWd"
"9Dl6qBufVM","03/15/2013 03:20:14","03/15/2013 03:20:14","0AF6xjXDPD","Scanned Reward","1","K5xIl5jFAr","","Free buffet","Receive a free buffet pass after dining here 10 times","2","KePt2apWWd"
"X82Tbm1bMI","03/15/2013 03:20:17","03/15/2013 03:20:17","0AF6xjXDPD","Scanned Reward","1","Ifj8RdRVu9","","Free drink","Receive a free drink after paying with cash 3 times","2","KePt2apWWd"
"AKdBX2Cera","03/15/2013 03:20:46","03/15/2013 03:20:46","fPvjuYgZbF","Scanned Reward","1","Ifj8RdRVu9","","Free drink","Receive a free drink after paying with cash 3 times","1","KePt2apWWd"
"MmT0xnQGEW","03/15/2013 03:20:50","03/15/2013 03:20:50","fPvjuYgZbF","Scanned Reward","1","K5xIl5jFAr","","Free buffet","Receive a free buffet pass after dining here 10 times","1","KePt2apWWd"
"E95RUudRje","03/15/2013 16:39:53","03/15/2013 16:39:53","GmPDbkVnWu","Scanned Reward","1","TchEje3SUf","","Free head massage","Receive a free head massage/hair wash/styling combo after purchasing 10 head massages","1","lqNj2MI9YZ"
"Oz9lAjEGQ5","03/15/2013 18:32:10","03/15/2013 18:32:10","Vsj6TFQJWn","Scanned Reward","1","K5xIl5jFAr","","Free buffet","Receive a free buffet pass after dining here 10 times","7","KePt2apWWd"
"YgJT0dqnVj","03/15/2013 18:32:13","03/15/2013 18:32:13","Vsj6TFQJWn","Scanned Reward","1","Ifj8RdRVu9","","Free drink","Receive a free drink after paying with cash 3 times","3","KePt2apWWd"
